name,amount,disregarded
H2O,1865,true
O2,857,true
H+,685,true
ATP,610,true
diphosphate,459,true
phosphate,451,true
ADP,434,true
S-adenosyl-L-methionine,391,true
NAD+,386,true
CO2,385,true
NADH,375,true
S-adenosyl-L-homocysteine,364,true
NADP+,333,true
NADPH,331,true
CoA,303,true
NH3,255,true
2 H+,249,true
2 H2O,221,true
AMP,197,true
2-oxoglutarate,189,true
[reduced NADPH-hemoprotein reductase],180,true
[oxidized NADPH-hemoprotein reductase],178,true
UDP,164,true
acetyl-CoA,155,true
L-glutamate,146,true
H2O2,135,true
acceptor,135,true
pyruvate,131,true
reduced acceptor,129,true
succinate,104,true
acetate,91,true
2 oxidized ferredoxin [iron-sulfur] cluster,80,true
2 reduced ferredoxin [iron-sulfur] cluster,78,true
2 O2,66,true
glycine,59,true
formaldehyde,55,true
L-methionine,54,true
UDP-alpha-D-glucose,53,true
3 H2O,53,true
formate,52,true
D-glucose,50,true
-farnesyl diphosphate,46,true
L-glutamine,45,true
4 H2O,44,true
geranyl diphosphate,44,true
UDP-glucose,44,true
"adenosine 3',5'-bisphosphate",44,true
GTP,43,true
geranylgeranyl diphosphate,43,true
3 O2,42,true
a carboxylate,41,true
2 ferrocytochrome b5,41,true
glyoxylate,39,true
3'-phosphoadenylyl sulfate,39,true
2 S-adenosyl-L-methionine,38,true
L-alanine,36,true
sulfite,36,true
GDP,35,true
oxaloacetate,33,true
FAD,33,true
2 ferricytochrome b5,33,true
CTP,30,true
dimethylallyl diphosphate,30,true
acyl-CoA,30,true
adenylate,30,true
acetaldehyde,29,false
glycerone phosphate,29,false
FADH2,29,false
L-aspartate,29,false
L-lysine,28,false
5'-deoxyadenosine,28,false
FMN,27,false
UDP-N-acetyl-alpha-D-glucosamine,27,false
a quinone,27,false
L-serine,27,false
UDP-alpha-D-galactose,26,false
L-tyrosine,26,false
2 S-adenosyl-L-homocysteine,26,false
hydrogen sulfide,26,false
L-tryptophan,25,false
2 oxidized ferredoxin,25,false
a quinol,25,false
CMP,25,false
D-glyceraldehyde 3-phosphate,25,false
2 NADP+,24,false
nitrite,24,false
L-cysteine,24,false
sulfate,24,false
2 reduced ferredoxin,24,false
malonyl-CoA,24,false
L-arginine,23,false
2 NADPH,23,false
chloride,23,false
methanol,23,false
D-glucose 6-phosphate,22,false
alpha-D-glucose 1-phosphate,22,false
2 CO2,22,false
phosphoenolpyruvate,22,false
FMNH2,22,false
thioredoxin disulfide,22,false
L-phenylalanine,21,false
glutathione,21,false
2 [reduced NADPH-hemoprotein reductase],20,false
UMP,20,false
spermidine,20,false
"(3S)-2,3-epoxy-2,3-dihydrosqualene",20,false
sn-glycerol 3-phosphate,19,false
tetrahydrofolate,19,false
4-hydroxybenzoate,19,false
S-methyl-5'-thioadenosine,19,false
carbamoyl phosphate,19,false
choline,18,false
succinyl-CoA,18,false
electron-transfer flavoprotein,18,false
2 [oxidized NADPH-hemoprotein reductase],18,false
2 ferricytochrome c,18,false
2 ferrocytochrome c,18,false
L-ornithine,18,false
putrescine,18,false
[protein]-Npi-phospho-L-histidine,18,false
[protein]-L-histidine,18,false
reduced electron-transfer flavoprotein,17,false
uracil,17,false
an aldehyde,17,false
glycerol,17,false
dTDP,17,false
nicotinamide,17,false
urea,17,false
glutathione disulfide,17,false
D-ribose 5-phosphate,17,false
thioredoxin,17,false
"3,4-dihydroxybenzoate",16,false
2 phosphate,16,false
a fatty acid,16,false
2 glutathione,16,false
3 S-adenosyl-L-methionine,16,false
D-fructose 6-phosphate,15,false
5-phospho-alpha-D-ribose 1-diphosphate,15,false
HCO3-,15,false
propanoyl-CoA,15,false
"5,10-methylenetetrahydrofolate",15,false
3 [reduced NADPH-hemoprotein reductase],15,false
3 [oxidized NADPH-hemoprotein reductase],15,false
2 acceptor,15,false
2 reduced acceptor,15,false
an alcohol,14,false
6 H+,14,false
3 CO2,14,false
3-phospho-D-glycerate,14,false
dolichyl phosphate,14,false
4 H+,14,false
D-fructose,14,false
protoheme,14,false
Fe2+,14,false
L-homocysteine,14,false
4 CoA,13,false
2 ADP,13,false
GMP,13,false
L-threonine,13,false
sarcosine,13,false
citrate,13,false
2 ATP,13,false
D-glycerate,13,false
catechol,13,false
adenine,13,false
3 S-adenosyl-L-homocysteine,13,false
3 H+,12,false
fumarate,12,false
2 NAD+,12,false
anthranilate,12,false
methylamine,12,false
GDP-alpha-D-mannose,12,false
acetyl phosphate,12,false
3 malonyl-CoA,12,false
benzoyl-CoA,12,false
palmitoyl-CoA,12,false
ADP-D-ribose,12,false
a malonyl-[acyl-carrier protein],12,false
2 NH3,12,false
D-ribulose 5-phosphate,12,false
a protein,12,false
15-cis-phytoene,12,false
feruloyl-CoA,11,false
salicylate,11,false
D-glutamate,11,false
H2,11,false
IMP,11,false
N-acetyl-D-glucosamine,11,false
a 2-oxo carboxylate,11,false
2-oxobutanoate,11,false
3-methyl-2-oxobutanoate,11,false
2 NADH,11,false
L-proline,11,false
2-aminoprop-2-enoate,11,false
2-iminopropanoate,11,false
2-dehydro-3-deoxy-D-gluconate,11,false
oxidized coenzyme F420,11,false
reduced coenzyme F420,11,false
2 diphosphate,11,false
O-acetyl-L-serine,11,false
L-histidine,11,false
ROH,11,false
zeaxanthin,11,false
D-glucopyranose,11,false
UTP,11,false
a phosphoprotein,11,false
succinate semialdehyde,11,false
2 reduced adrenodoxin,10,false
2 oxidized adrenodoxin,10,false
oxalate,10,false
4-coumaroyl-CoA,10,false
D-ribose,10,false
betaine,10,false
squalene,10,false
"1,2-diacyl-sn-glycerol",10,false
an L-amino acid,10,false
propanoate,10,false
a primary alcohol,10,false
chorismate,10,false
thiosulfate,10,false
nicotinate,10,false
beta-alanine,10,false
benzoate,10,false
L-dopa,10,false
2 CoA,10,false
4 reduced ferredoxin [iron-sulfur] cluster,10,false
4 oxidized ferredoxin [iron-sulfur] cluster,10,false
a long-chain fatty acid,10,false
all-trans-zeta-carotene,10,false
D-glucuronate,9,false
acetoacetyl-CoA,9,false
myo-inositol,9,false
a ceramide,9,false
"propane-1,3-diamine",9,false
2-iminobutanoate,9,false
adenosine,9,false
an [acyl-carrier protein],9,false
an acyl-CoA,9,false
"N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol",9,false
UDP-alpha-D-glucuronate,9,false
"D-glucono-1,5-lactone",9,false
4-aminobutanoate,9,false
L-valine,9,false
"a [histone H3]-N6,N6-dimethyl-L-lysine9",9,false
a [histone H3]-N6-methyl-L-lysine9,9,false
hnu,9,false
diacylglycerol,9,false
a [histone H3]-L-lysine4,9,false
a [histone H3]-N6-methyl-L-lysine4,9,false
2 H2O2,9,false
L-asparagine,9,false
chlorophyllide a,9,false
"alpha,alpha-trehalose",9,false
ent-copalyl diphosphate,9,false
ethanolamine,9,false
ubiquinone,9,false
CO,9,false
2 L-glutamate,9,false
a linoleoyl-[glycerolipid],9,false
all-trans-lycopene,9,false
carbamate,9,false
[E2 ubiquitin-conjugating enzyme]-L-cysteine,9,false
Cl-,9,false
alpha-D-ribose 1-phosphate,8,false
O-phospho-L-serine,8,false
2 reduced [2Fe-2S] ferredoxin,8,false
an acyl-[acyl-carrier protein],8,false
glycolate,8,false
2-aminobut-2-enoate,8,false
pyridoxal,8,false
agmatine,8,false
isopentenyl diphosphate,8,false
"N,N-dimethylglycine",8,false
sulfide,8,false
a 5'-hydroxy-ribonucleotide-3'-[RNA fragment],8,false
phenol,8,false
L-isoleucine,8,false
D-alanine,8,false
3 acceptor,8,false
3 reduced acceptor,8,false
cholate,8,false
oxidized ferredoxin,8,false
reduced ferredoxin,8,false
cholesterol,8,false
beta-amyrin,8,false
hydroxylamine,8,false
L-aspartate 4-semialdehyde,8,false
ubiquinol,8,false
UDP-N-acetyl-alpha-D-galactosamine,8,false
CoM,8,false
2-sulfoacetaldehyde,8,false
hydrogencarbonate,8,false
[E2 ubiquitin-conjugating enzyme]-S-ubiquitinyl-L-cysteine,8,false
"a [histone H3]-N6,N6-dimethyl-L-lysine36",8,false
a [histone H3]-N6-methyl-L-lysine36,8,false
alpha-D-mannose 1-phosphate,8,false
"alpha-D-ribose 1,5-bisphosphate",8,false
